SubjectArea,Subject,Band,AchievementStandard_V1,AchievementStandard_V2,ChangeComment
The Arts,Visual Arts,Foundation,"By the end of Foundation, students make artworks using different materials and techniques that express their ideas, observations and imagination.
Students identify and describe the subject matter and ideas in artworks they make and view.","By the end of Foundation, students describe experiences, observations, ideas and feelings about artworks they encounter at school, home and in the community, identifying what they enjoy and why. They develop an understanding of visual arts conventions, skills and processes. 
Students use play, imagination and experimentation with materials and processes to create artworks. They make and share artworks that communicate their experiences, observations and ideas.",Additions made linking the contexts for experiencing Visual Arts. Changes made to align with the restructure of the strands in the Arts curriculum
The Arts,Visual Arts,Years 1 and 2,"By the end of Level 2, students make artworks using different materials, techniques and processes to express their ideas, observations and imagination.
Students describe artworks they make and view, including where and why artworks are made and viewed.","By the end of Level 2, students identify where they experience artworks. They describe why and how people across cultures, communities, times, places and/or other contexts experience visual arts. 
Students experiment with visual arts processes, materials and visual conventions to create artworks. They make and share artworks that communicate experiences, ideas and observations in informal settings.",Achievement standard expanded to align with revised content descriptions and strands. Provides flexibility for teachers and schools
The Arts,Visual Arts,Years 3 and 4,"By the end of Level 4, students plan and make artworks that are inspired by artworks they experience. They use materials, visual conventions, techniques and processes to express their ideas in artworks.
Students discuss how artists express ideas and use materials, techniques and visual conventions in artworks from a range of places, times and cultures. 
They discuss and evaluate the art making processes, materials and techniques they use to express their ideas.","By the end of Level 4, students identify and describe the use of visual conventions, visual arts processes and materials in artworks they create and/or experience. They recall where, when, why and/or how visual artists create and/or display artworks across cultures, times, places and other contexts, including the work of Aboriginal and Torres Strait Islander Peoples. 
Students explore and experiment with visual conventions, materials and processes to develop their visual arts practice. They use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and meaning. They present and/or display their artworks and/or visual arts practice in formal and/or informal settings.",Achievement standard has been broadened to include knowledge and skills linked to each strand. The achievement standard follows the scaffolding of Visual Arts learning across all 4 strands. Includes an understanding of the artworks created by Aboriginal and Torres Strait Islander Peoples. There is an additional focus on presenting and displaying artworks
The Arts,Visual Arts,Years 5 and 6,"By the end of Level 6, students explain how ideas are expressed in artworks they make and view. They demonstrate the use of different techniques and processes in planning and making artworks. They use visual conventions and visual arts practices to express ideas, themes and concepts in their artworks.
Students describe the influences of artworks and practices places on their art making. They describe how artworks that they make and view can be displayed to express and enhance meaning. 
Students describe and identify how ideas are expressed in artworks from different contemporary, historical and cultural contexts.","By the end of Level 6, students explore the ways that visual conventions, visual arts processes and materials are combined in artworks they create and/or experience. They describe how artworks created across cultures, times, places and other contexts communicate ideas, perspectives and meaning. They identify how visual arts are used to continue and revitalise cultures, including the work of Aboriginal and Torres Strait Islander Peoples. 
Students develop ideas in artworks using visual conventions and visual arts processes. They select and use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and meaning. They present and/or display and discuss artworks in informal and formal settings.",Reworded to align with the change in the structure of the strands. Refined to provide learning progression in Visual Arts learning. Inclusion of content referring to artworks by Aboriginal and Torres Strait Islander Peoples
The Arts,Visual Arts,Years 7 and 8,"By the end of Level 8, students identify, analyse and evaluate how other artists use materials, techniques, technologies, processes and visual conventions to express ideas and convey meaning.
Students plan and make their art works in response to exploration of techniques, technologies and processes used in the work of other artists. They demonstrate the use of materials, techniques, processes, visual conventions and technologies to express ideas and convey meaning in their artworks.
Students identify and describe artworks and exhibitions from different cultures, times and places and how ideas are interpreted by audiences.","By the end of Level 8, students analyse how visual conventions, visual arts processes and materials are manipulated in artworks they create and experience. They describe ways that visual artists across cultures, times, places and other contexts communicate ideas, perspectives and meaning through their visual arts practice including the artworks of Aboriginal and Torres Strait Islander Peoples. They identify and describe how and why respectful approaches are used in creating and responding to artworks. ",Change in terminology to provide progression across the bands and to align with the structure of the strands. References to practices and artworks by Aboriginal and Torres Strait Islander Peoples added for inclusivity
The Arts,Visual Arts,Years 9 and 10,"By the end of Level 10, students analyse and evaluate how artists communicate ideas and convey meaning in artworks.
Students identify the influences of other artists and analyse connections between techniques, processes and visual conventions in artworks to develop their own art practice. They select, and manipulate materials, techniques, processes, visual conventions and technologies to express ideas and viewpoints in their artworks.
Students analyse and evaluate artworks and exhibitions from different cultures, times and places, and discuss how ideas and beliefs are interpreted by audiences.","By the end of Level 10, students analyse and evaluate how and why visual conventions, visual arts processes and materials are manipulated in artworks they create and experience. They evaluate how and why artists from across cultures, times, places and other contexts use visual conventions, visual arts processes and materials in their visual arts practice and/or artworks to communicate and/or challenge ideas, perspectives and meaning, including the practices of Aboriginal and Torres Strait Islander artists. They evaluate how visual arts are used to represent, celebrate and challenge perspectives of Australian identity, including artworks by Aboriginal and Torres Strait Islander Peoples. 
Students explore and respond to artworks and inspiration from multiple sources to develop and resolve artworks that communicate ideas, perspectives and meaning. They document, reflect on and annotate their own visual arts practice. They select and apply skills, demonstrating an understanding of the use of visual conventions, visual arts processes and materials to create artworks. They use visual conventions, visual arts processes and materials to create artworks that represent and/or communicate ideas, perspectives and meaning. They curate, critique and evaluate exhibitions of their own and/or others’ artworks and visual arts practice in different contexts, times and places for different audiences.",Change in terminology to provide progression across the bands and to align with the structure of the strands. References to practices and artworks by Aboriginal and Torres Strait Islander Peoples added for inclusivity. Terminology and progression provide a link to VCE Visual Arts and Visual Communication Design
